Distance,Pan Angle,Tilt angle
8,40,0
4,41,0
5,42,0
7,43,0
15,44,0
3,45,0
0,46,0
4,47,0
3,48,0
11,49,0
4,50,0
3,51,0
4,52,0
3,53,0
9,54,0
179,55,0
256,56,0
281,57,0
285,58,0
292,59,0
294,60,0
309,61,0
307,62,0
304,63,0
310,64,0
303,65,0
313,66,0
313,67,0
332,68,0
315,69,0
308,70,0
323,71,0
445,72,0
479,73,0
497,74,0
505,75,0
504,76,0
507,77,0
513,78,0
491,79,0
480,80,0
420,81,0
352,82,0
343,83,0
344,84,0
367,85,0
345,86,0
341,87,0
384,88,0
487,89,0
580,90,0
518,91,0
541,92,0
516,93,0
518,94,0
528,95,0
513,96,0
428,97,0
352,98,0
369,99,0
355,100,0
364,101,0
352,102,0
383,103,0
352,104,0
355,105,0
351,106,0
342,107,0
341,108,0
342,109,0
337,110,0
338,111,0
334,112,0
334,113,0
334,114,0
326,115,0
339,116,0
322,117,0
322,118,0
330,119,0
353,120,0
326,121,0
147,122,0
162,123,0
147,124,0
147,125,0
143,126,0
138,127,0
76,128,0
58,129,0
122,130,0
296,131,0
427,132,0
428,133,0
90,134,0
8,135,0
7,136,0
4,137,0
1,138,0
